Gamma_x,Gamma_y,Gamma_z,mkc_gap
1.464744998982456803e+00,1.039485698448664452e+00,1.259221332182023367e+00,4.169810158241156195e-01
1.395113366090479312e+00,7.935004656773049225e-01,1.723283833263133502e+00,2.326649992523253108e-01
1.352719069876372249e+00,1.732556607533459525e+00,8.303755039502503932e-01,2.252689831465815029e-01
6.603321182547279289e-01,8.420500580259484558e-01,1.031879096055618117e+00,2.352515401125292449e-01
6.903213107257597514e-01,9.166857683196347750e-01,1.231949164801925622e+00,1.875289571217344520e-01
1.210386390615916907e+00,7.940289272385308017e-01,5.714645684272086079e-01,7.755355252491114015e-02
2.181509649851211208e+00,1.739314586515875005e+00,1.725869310645750998e+00,6.418371236552076198e-01
1.561677778541196604e+00,1.720139330854596471e+00,2.093748499418071507e+00,5.940343049888610061e-01
1.004356268672318642e+00,1.151073136125394747e+00,1.148487806481925055e+00,5.008854695144244751e-01
1.292017623006982863e+00,4.136159789597533831e-01,1.054866488570163741e+00,8.823242226146721379e-02
1.453829241594268851e+00,9.467464831968864791e-01,6.551493402308184999e-01,7.403329091671806417e-02
1.266286036707638285e+00,1.349688300028627275e+00,1.008191489723907264e+00,4.623946132014591370e-01
7.803556762543386593e-01,9.561222134453486454e-01,2.820564953529866026e-01,5.314497908098836376e-02
1.566761219098174340e+00,1.177732055404624667e+00,1.699674407456217340e+00,5.224094335232909447e-01
1.324362941794283155e-01,1.023536053641144195e+00,1.012687735645743770e+00,6.079398809201408405e-02
4.204659569109181483e-01,8.523638720406825353e-01,1.036773922680340076e+00,1.180279531356303035e-01
9.057808058584322364e-01,6.192683393987633567e-01,6.628914631144737779e-01,1.881894983274026156e-01
1.533796526534611848e+00,1.158185268115093924e+00,1.763609833777687985e+00,4.641859804360088937e-01
7.530181101110607900e-01,2.961247498100350595e-01,9.641368145446942428e-01,4.250302268820083107e-02
8.973686591504090870e-01,9.757631745072267160e-01,8.943840945847203461e-01,4.079947896139514141e-01
1.446926136817586084e+00,8.629637448415343748e-01,7.818207838170887491e-01,9.892919592051852007e-02
1.602147708860879316e+00,1.360881384398245464e+00,2.060026209800698282e+00,4.515014417292131377e-01
8.422243216234801544e-01,1.090751953062605972e+00,1.354065578044438611e+00,2.894553483208237576e-01
2.038886524716690296e+00,2.205217570959931095e+00,1.976833853215576475e+00,9.052514034861678383e-01
1.292798475748945020e+00,1.181524329336583801e+00,2.097251647422774479e+00,1.885355788313769487e-01
7.884262955626650804e-01,5.762939708195428112e-01,3.285900476257140324e-01,5.822886144129590935e-02
1.184096657636269034e+00,1.473147583187014886e+00,1.386280870929089248e+00,5.486149726891718093e-01
9.487282389380384817e-01,1.749579103503862587e+00,1.044650836674297256e+00,1.218999860542366864e-01
1.206269874014509025e+00,9.743628210946658763e-01,4.249575403632404602e-01,9.652524372169857259e-02
8.918192305165417721e-01,1.214046084004402726e+00,1.342491509491946733e+00,3.816869025144988825e-01
4.349190950829783797e-01,1.076810167827554343e+00,1.359318935106075266e+00,7.620516390222875636e-02
1.044985706475818121e+00,1.307231440774413445e+00,3.914143799364852572e-01,6.458432281894488369e-02
1.456866323916999884e+00,4.688940878833389725e-01,1.351638259363706185e+00,1.818330116650226369e-01
1.116344456235157212e+00,7.925642455762392791e-01,1.113865893453482414e+00,3.950428413972821851e-01
6.522061702907707703e-01,9.713032523378184457e-01,6.408647318522568970e-01,1.608838249026045553e-01
1.394787212294134937e+00,1.164255792555733082e+00,3.690718402782970364e-01,6.927021026994761854e-02
1.182186510322021933e+00,1.193645140032423280e+00,7.199427900721886431e-01,3.542420801808936481e-01
8.597208625476553401e-01,1.540709217984070456e+00,1.447347233860812654e+00,3.831794392121987691e-01
1.710890269801318198e+00,1.621020869680095178e+00,1.827909263047304389e+00,7.520009382170544932e-01
1.168878087996215509e+00,1.166862108261001341e+00,4.972899632177753548e-01,2.476369917412806210e-01
2.024251648841831397e+00,1.804490594418412641e+00,1.939606050088275468e+00,8.599224978324282453e-01
1.267545987520011685e+00,1.601558920559946753e+00,7.232097088073045077e-01,1.945983878836847758e-01
1.539563749076601429e+00,1.677798328946810802e+00,1.555425480066501720e+00,7.085954500981461734e-01
1.145713792076029636e+00,1.194277029206862961e+00,9.249731411898185485e-01,4.382049520294926115e-01
1.988272965931354941e+00,1.725854842635730080e+00,1.462391712158868762e+00,5.999867944316219504e-01
9.615386224438300378e-01,1.494934923035158736e+00,1.512327714177948979e+00,4.720729156505198976e-01
1.466038637972638448e+00,2.083402655302379891e+00,1.612886846868553103e+00,4.977614147694060520e-01
1.202122039683647170e+00,7.864174715025991080e-01,7.108657986950988050e-01,1.475806152570253715e-01
1.275112479142441524e+00,1.195337011779977976e+00,2.036280084255079004e+00,2.170847033336702481e-01
9.855885726057613816e-01,9.716874124985271921e-01,1.525702661043239150e+00,2.157866620305246563e-01
1.837608849839470704e+00,2.162534512322131341e+00,1.688961280000118137e+00,6.820178087587285276e-01
1.064169324552823870e+00,6.713250948892197645e-01,9.050864081751492929e-01,2.561210892557725938e-01
1.379781718472332885e+00,1.419686217276941775e+00,1.530637657296810117e+00,6.344151392262322720e-01
1.096391056041112311e+00,8.886501187080457775e-01,1.041407525521948374e+00,4.168332940944408094e-01
1.166638016138459299e+00,1.664575843182422688e+00,1.648672000942502214e+00,5.753670869492695239e-01
1.480958446427293351e+00,1.486438061322651993e+00,6.743772936717038480e-01,3.344488393881723809e-01
1.777217351316084049e+00,1.134185934664990736e+00,1.451521200326463701e+00,4.042448918376853051e-01
1.362552264602620689e+00,2.309628581198330366e+00,1.407729349996176493e+00,2.303265167002335190e-01
1.561167784028080430e+00,1.798338511556785146e+00,1.634959030982733985e+00,6.988941517270146342e-01
1.336120441821918359e+00,1.654020632780813571e+00,1.438151744281553235e+00,5.601257766613292333e-01
8.895244327634548309e-01,1.129876319765473536e+00,3.699074469325701608e-01,6.477777996527556148e-02
1.436739711817226706e+00,9.366537737436653188e-01,1.680826230381713859e+00,3.462836275895893046e-01
2.265915886360413189e+00,2.070611039881812054e+00,2.172974693775123534e+00,9.888349236482611992e-01
4.560091746546986458e-01,1.390203080378393574e+00,1.383226969775181114e+00,2.245165320257431762e-01
6.331853191125743630e-01,4.787005107174445717e-01,7.641555773014114816e-01,1.738651262643037265e-01
1.184048543969509204e+00,1.337416672230564263e+00,2.762348314804498606e-01,6.143335160969742859e-02
1.333457513344789014e+00,1.026115548914894759e+00,1.225050807120641405e+00,4.588544213453735754e-01
1.459382147645021277e+00,1.386207451147651426e+00,1.877053537884278978e+00,4.842680304541970848e-01
5.242430732358859258e-01,1.032129928714783595e+00,8.140677444300148391e-01,1.530904444755587512e-01
8.142931514549855976e-01,7.147649836293097358e-01,6.963291010901601075e-01,2.984004666322421784e-01
8.451721524727104917e-01,1.126164128917609641e+00,1.133018393345145647e+00,4.191589440225871321e-01
1.001871504023820469e-01,1.050390991996795975e+00,1.058375677298174500e+00,4.610123255050191382e-02
1.819170897725211455e+00,8.813937561611711047e-01,1.150287732159193999e+00,1.062552952975768239e-01
1.443799199481524909e+00,1.177317559953486636e+00,2.035356284870351917e+00,2.928802372823295919e-01
9.633006553847990316e-01,1.749084430511932853e+00,1.428616601690146926e+00,3.214164132815067187e-01
1.292629066723354203e+00,1.157850314563928062e+00,1.794861663377759431e+00,3.278088589547611953e-01
4.668243535909515352e-01,9.672870672686755267e-01,6.862332216844654331e-01,9.288525400337066529e-02
1.805144921255575685e+00,1.893147534124404174e+00,2.267842348979374201e+00,7.152250532003030514e-01
1.511516076330676084e+00,1.377284282601785925e+00,2.038896605429695086e+00,4.249518767513835726e-01
7.846133843958237319e-01,1.401700399975734257e+00,1.737674085888892161e+00,2.243198492413329692e-01
1.572313595864833768e+00,1.498574261732538826e+00,1.383511632642362876e+00,6.548861492550339669e-01
8.693679642231109117e-01,1.599596987464249720e+00,9.063817702161365286e-01,8.807637348749897122e-02
1.988573494551382881e+00,2.280335247731255066e+00,1.926408177018071211e+00,8.173232119190991796e-01
1.182557911596585631e+00,8.360649656644120187e-01,1.613190788877227000e+00,2.027160441918853806e-01
1.603204552220078405e+00,2.135764327025916121e+00,1.625096025319575865e+00,5.462681252568688528e-01
1.786260042111130097e+00,1.434209520888613199e+00,1.176372573890993811e+00,4.121610263342385672e-01
1.925068034465573508e+00,2.031124504441347511e+00,1.624291610768537231e+00,7.591175703963815025e-01
8.381476796231691617e-01,8.219093136968368407e-01,3.003906816552075476e-01,1.420761578644376133e-01
1.235501432577885694e+00,1.546628077720813899e+00,1.983754439330833952e+00,3.991875354839329315e-01
1.157148815556304111e+00,7.620891829010254526e-01,7.249643908345503318e-01,1.649523790896358921e-01
1.114880540177458634e+00,9.396504322379340968e-01,1.341627924961027674e+00,3.564515237271825843e-01
5.386669991850899786e-01,1.225461654284139890e+00,1.435717392408840665e+00,1.642056305301944352e-01
1.350362753569881447e+00,6.697232624355550223e-01,1.570223202277454266e+00,2.249314068639911568e-01
1.558601789529942883e+00,8.058936197660594436e-01,1.476945989255092240e+00,3.621189097456043449e-01
1.163343187019597380e+00,2.088631973329706959e+00,1.110690773602427628e+00,9.270099364615891346e-02
1.150459610165020852e+00,1.216245161736728475e+00,5.646999043292550979e-01,2.494571763787736263e-01
2.065451210263288484e+00,2.100458744983533244e+00,2.340542710944268912e+00,9.126836221512761860e-01
1.866210665680712921e+00,1.781787007865700767e+00,2.285558723624104616e+00,6.812194749611544253e-01
1.524511501348253084e+00,7.069734600357191479e-01,1.233037854073353978e+00,2.077499063804100210e-01
7.015042782295938251e-01,4.831259721018135167e-01,1.023733655392955910e+00,8.044829746922577129e-02
1.077821186269019460e+00,7.929081547390746110e-01,4.082981636276535875e-01,6.169256604885431372e-02
2.139386405640300914e+00,1.898364578917657974e+00,2.059664536363152720e+00,9.093213548202547791e-01
1.669478933791897601e+00,2.023015829126163290e+00,1.909844848320252808e+00,7.781539764929936709e-01
2.462704834423881939e-01,8.331561690558548783e-01,8.558097905060524369e-01,1.118084309960952760e-01
